activity_type,duration_min,distance_km,calories
Cycling,85,8.85,300
Walking,70,3.08,290
Cycling,76,13.14,396
Running,38,3.9,500
Gym_Workout,50,0.0,260
Running,27,5.31,500
Gym_Workout,39,0.0,543
Cycling,89,10.95,665
Gym_Workout,49,0.0,375
Walking,70,2.87,180
Running,29,5.63,212
Walking,43,4.33,103
Walking,47,4.03,128
Gym_Workout,36,0.0,263
Walking,80,4.88,202
Gym_Workout,64,0.0,296
Cycling,61,17.32,591
Running,32,6.21,456
Walking,65,2.39,222
Cycling,49,24.42,559
Cycling,89,8.85,580
Running,60,9.19,387
Cycling,51,24.36,600
Running,36,8.23,340
Gym_Workout,55,0.0,430
Running,28,5.61,472
Cycling,68,14.5,472
Cycling,56,20.82,414
Walking,65,3.86,243
Gym_Workout,48,0.0,400
Running,25,8.47,261
Cycling,67,18.87,388
Cycling,62,18.95,524
Cycling,83,22.7,313
Walking,39,4.5,172
Running,49,6.29,272
Cycling,44,21.47,633
Walking,30,3.5,242
Cycling,55,17.52,686
Gym_Workout,41,0.0,211
Walking,52,5.58,237
Running,47,9.81,204
Walking,67,5.23,155
Gym_Workout,66,0.0,531
Walking,58,3.02,290
Running,55,8.94,229
Running,40,3.8,262
Walking,50,2.88,145
Gym_Workout,54,0.0,488
Gym_Workout,30,0.0,369
Cycling,47,13.04,699
Running,25,7.28,209
Cycling,77,21.43,652
Gym_Workout,54,0.0,425
Walking,80,5.77,188
Running,39,6.32,203
Running,36,8.14,257
Cycling,46,13.16,690
Cycling,85,8.63,327
Cycling,76,12.89,670
Walking,63,4.68,109
Gym_Workout,44,0.0,451
Walking,63,2.25,199
Cycling,59,15.65,455
Cycling,63,18.28,548
Running,60,3.71,336
Walking,64,5.73,295
Cycling,75,14.64,584
Cycling,74,21.1,324
Running,24,6.7,379
Cycling,76,9.88,617
Cycling,81,24.45,678
Gym_Workout,56,0.0,375
Cycling,66,18.22,610
Gym_Workout,63,0.0,253
Running,39,8.53,365
Gym_Workout,51,0.0,339
Running,33,3.44,459
Walking,35,3.84,192
Running,54,8.97,298
Walking,34,5.29,230
Cycling,70,11.01,627
Cycling,71,22.71,352
Running,33,9.87,336
Running,56,8.13,399
Cycling,77,11.43,458
Walking,44,3.48,241
Running,59,6.4,456
Walking,61,3.09,147
Walking,30,3.24,297
Walking,38,5.28,200
Walking,56,2.2,235
Walking,58,3.56,182
Running,25,8.33,306
Walking,52,4.57,281
Gym_Workout,37,0.0,230
Gym_Workout,69,0.0,408
Walking,44,5.03,180
Running,31,9.0,469
Gym_Workout,47,0.0,492
